id,status,sort,name,test_id,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,flavor_1,flavor_2,flavor_3,flavor_4
1483,2,0,Dutch Hawaiian,19,NULL,NULL,NULL,Sativa,NULL,NULL,"Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Anxious","Depression, Stress, Pain, Nausea","Citrus, Sweet",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Anxious,,Depression, Stress, Pain, Nausea,,Citrus, Sweet,,
1622,2,0,SleeStack,21,NULL,NULL,NULL,Hybrid,NULL,Reserva Privada,"Uplifted, Euphoric, Creative, Relaxed, Talkative, Anxious, Dry Mouth","Stress, Depression","Sweet, Pine",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uplifted, Euphoric, Creative, Relaxed, Talkative, Anxious, Dry Mouth,,Stress, Depression,,,,Sweet, Pine,,
1640,2,0,Space Needle,22,NULL,NULL,NULL,Sativa,NULL,NULL,"Uplifted, Euphoric, Happy, Hungry, Relaxed, Dry Mouth, Anxious","Depression, Stress",Pine,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uplifted, Euphoric, Happy, Hungry, Relaxed, Dry Mouth, Anxious,,Depression, Stress,,,,Pine,,,
623,1,0,Double Purple Doja,23,NULL,NULL,NULL,Hybrid,,Subcool,"Relaxed, Creative, Sleepy, Happy, Euphoric, Dry Mouth, Anxious","Pain, Stress, Inflammation, Muscle Spasms","Earthy, Grape",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Creative, Sleepy, Happy, Euphoric, Dry Mouth, Anxious,,Pain, Stress, Inflammation, Muscle Spasms,,Earthy, Grape,,
7646,2,0,Black Cherry Soda,34,NULL,NULL,NULL,Hybrid,NULL,Subcool,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
4479,2,0,Blue Berry,35,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
1517,2,0,Jack Skellington,37,NULL,NULL,NULL,Hybrid,NULL,TGA Seeds,"Creative, Relaxed, Euphoric, Energetic, Happy, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Muscle Spasms","Citrus, Sweet",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creative, Relaxed, Euphoric, Energetic, Happy, Dry Mouth, Paranoid, Anxious,Stress, Depression, Pain, Muscle Spasms,,Citrus, Sweet,,
265,1,0,Northern Lights,38,NULL,NULL,NULL,Hybrid,10,Seed Bank,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Lack of Appetite","Earthy, Pine, Sweet",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Earthy, Pine, Sweet,
858,1,0,Northern Lights,38,NULL,NULL,NULL,Hybrid,,Seed Bank,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Lack of Appetite","Earthy, Pine, Sweet",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Earthy, Pine, Sweet,
289,1,0,Pineapple Express,40,NULL,NULL,NULL,Hybrid,0,G13 Labs,#N/A,,#N/A,"Valley Center, CA",NULL,1400,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
