test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,ailment_count,effects_count,flavor_count
5985,Sweet Tooth,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid,None,Sweet, Berry,None,5,7,2
5990,Purple Afghani,Hybrid,Stress, Pain, Insomnia, Depression,None,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,None,Sweet, Grape,None,4,7,2
6068,DJ Short Blueberry,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Uplifted, Creative, Dry Mouth, Anxious,None,Blueberry, Sweet, Berry,5,7,3
6118,Purple Wreck,Hybrid,Stress, Pain, Depression, Inflammation,None,Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid, Anxious,None,Grape, Sweet, Berry,4,7,3
6120,Chocolate Kush,Hybrid,Stress, Pain, Insomnia, Lack of Appetite,None,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,None,Earthy, Coffee, Sweet,4,7,3
6125,Pure Kush,Indica,Pain, Insomnia, Stress, Nausea,None,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid,None,Earthy, Skunk,None,4,7,2
6285,XJ-13,Hybrid,None,None,None,None,None,Happy,Euphoric,Relaxed,Uplifted,Creative,None,None,None,None,None,None,0,5,0
6439,Violator Kush,Indica,Depression, Stress, Insomnia, Pain,None,Relaxed, Sleepy, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious,Earthy,None,None,4,8,1
6533,G13,Indica,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,None,Earthy, Sweet,None,5,7,2
6600,Cannalope Haze,Hybrid,Depression, Stress, Pain, Nausea,None,Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious,Sweet, Lime,None,4,8,2
6611,Tangerine,Hybrid,None,None,None,None,None,Happy,Uplifted,Energetic,Relaxed,Creative,None,None,None,None,None,None,0,5,0
6615,Super Sour Diesel,Hybrid,Stress, Depression, Pain,None,None,Euphoric, Uplifted, Energetic, Happy, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,None,3,8,2
6622,Blue Venom,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Pine,Lemon,0,0,3
6639,Gigabud,Hybrid,Pain, Stress, Lack of Appetite, Insomnia, Nausea,Hungry, Relaxed, Sleepy, Happy, Focused, Dry Mouth, Anxious,None,Sweet, Pine,None,5,7,2
6640,Jamaican Dream,Hybrid,Stress, Depression, Nausea, Muscle Spasms, Pain,Happy, Euphoric, Uplifted, Relaxed, Talkative, Dry Mouth, Paranoid,None,Earthy, Lime,None,5,7,2
6698,Mr. Nice,Hybrid,Stress, Pain, Depression, Insomnia,None,Relaxed, Happy, Hungry, Sleepy, Dry Mouth, Anxious,None,None,Sweet, Earthy,None,4,6,2
6823,Afghooey,Indica,Pain, Stress, Insomnia, Depression, Muscle Spasms,Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid,None,Earthy, Sweet,None,5,7,2
6831,Cookie Monster,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms,Relaxed, Euphoric, Happy, Sleepy, Dry Mouth, Anxious,None,None,Grape,None,None,5,6,1
6832,Sweet Baby Jane,Indica,Muscle Spasms, Stress, Pain, Inflammation, Insomnia,Relaxed, Happy, Sleepy, Tingly, Dry Mouth,None,None,None,Citrus, Sweet,None,5,5,2
6848,Dairy Queen,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Diesel,Citrus,0,0,3
6856,Sweet and Sour Widow,Indica,Pain, Stress, Depression, Insomnia,None,Relaxed, Happy, Uplifted, Euphoric, Tingly, Dry Mouth, Paranoid,None,Earthy, Sweet,None,4,7,2
6866,Early Girl,Indica,Stress, Pain, Depression, Muscle Spasms, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Citrus, Earthy, Sweet,5,8,3
6875,Nuken,Hybrid,Depression, Lack of Appetite, Pain,None,None,Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,None,None,Citrus, Earthy,None,3,6,2
6939,Kilimanjaro,Sativa,Depression, Stress, Pain, Muscle Spasms,None,Energetic, Happy, Talkative, Creative, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine,None,4,8,2
6941,Wild Thailand,Hybrid,Depression, Pain, Stress,None,None,Horny, Euphoric, Talkative, Creative, Energetic, Dry Mouth, Anxious,None,Sweet, Berry,None,3,7,2
6999,Great White Shark,Sativa,Stress, Pain, Depression,None,None,Relaxed, Happy, Uplifted, Euphoric, Energetic, Dry Mouth, Anxious,None,Earthy, Citrus,None,3,7,2
7004,Haze Mist,Hybrid,Nausea, Stress,None,None,None,Energetic, Focused, Happy, Hungry,None,None,None,None,None,None,None,2,4,0
7019,Kalashnikova,Hybrid,None,None,None,None,None,Relaxed,Happy,Energetic,Hungry,Sleepy,None,None,None,None,None,None,0,5,0
7036,Super Critical,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sage,Pungent,Diesel,0,0,3
7052,The Doctor,Hybrid,Insomnia, Pain, Stress, Inflammation, Depression,Relaxed, Euphoric, Happy, Sleepy, Dry Mouth, Anxious,None,None,Earthy, Citrus,None,5,6,2
7409,Jamaican Lion,Hybrid,Pain, Stress, Muscle Spasms, Depression,None,Uplifted, Relaxed, Happy, Energetic, Talkative, Dry Mouth, Paranoid,None,Earthy, Lime,None,4,7,2
7416,Jedi Kush,Hybrid,Stress, Pain, Depression, Insomnia,None,Relaxed, Euphoric, Happy, Uplifted, Sleepy, Dry Mouth, Anxious,None,Earthy, Sweet,None,4,7,2
7428,Redwood Kush,Hybrid,Insomnia, Pain, Stress, Depression, Muscle Spasms,Euphoric, Relaxed, Uplifted, Happy, Focused, Dry Mouth, Paranoid,None,Pine, Earthy,None,5,7,2
7454,Jesus OG,Hybrid,Stress, Depression, Pain,None,None,Happy, Euphoric, Uplifted, Focused, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Citrus, Lemon,3,8,3
7457,ACDC,Sativa,None,None,None,None,None,Relaxed,Happy,Uplifted,Focused,Euphoric,None,None,None,None,None,None,0,5,0
7474,Orange Creamsicle,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Diesel,Earthy,Pungent,0,0,3
7475,Original Blueberry,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Sweet,Flowery,0,0,3
7514,Shark Shock,Hybrid,Pain, Stress, Inflammation, Depression, Muscle Spasms,Relaxed, Euphoric, Focused, Happy, Sleepy, Dry Mouth, Anxious,None,Earthy, Sweet,None,5,7,2
7515,SnowLAnd,Hybrid,None,None,None,None,None,Relaxed,Sleepy,Talkative,Creative,Focused,None,None,None,None,None,None,0,5,0
7785,Humboldt,Hybrid,None,None,None,None,None,Relaxed,Sleepy,Euphoric,Happy,Uplifted,None,None,None,Diesel,Flowery,Earthy,0,5,3
7821,Grapefruit,Hybrid,Stress, Depression, Pain,None,None,Happy, Energetic, Euphoric, Relaxed, Uplifted, Dry Mouth, Paranoid,None,Citrus, Sweet,None,3,7,2
7824,NightFire OG,Hybrid,Stress, Depression,None,None,None,Talkative, Energetic, Happy, Euphoric, Creative, Dry Mouth, Anxious,None,Earthy, Citrus,None,2,7,2
7855,Fucking Incredible,Hybrid,Pain, Stress, Depression, Insomnia,None,Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Anxious,None,Skunk, Earthy,None,4,7,2
7892,Afghan Skunk,Hybrid,Stress, Insomnia, Depression, Nausea, Muscle Spasms,Relaxed, Happy, Sleepy, Uplifted, Creative, Dry Mouth, Anxious,None,Earthy,None,None,5,7,1
7911,Monster Cookies,Hybrid,Stress, Pain, Insomnia, Depression,None,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,None,Earthy, Grape, Sweet,4,7,3
7955,Green Dragon,Hybrid,Pain, Stress, Nausea, Depression,None,Relaxed, Euphoric, Uplifted, Sleepy, Happy, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,None,4,8,2
8022,Purple Bubba,Indica,Lack of Appetite, Muscle Spasms, Inflammation, Pain, Stress,Relaxed, Sleepy, Hungry, Happy, Tingly, Dry Mouth,None,None,Grape, Berry, Sweet,5,6,3
8085,Tropicali,Hybrid,None,None,None,None,None,Euphoric,Uplifted,Relaxed,Energetic,Happy,None,None,None,None,None,None,0,5,0
8151,Huckleberry,Hybrid,None,None,None,None,None,Happy,Relaxed,Talkative,Uplifted,Euphoric,None,None,None,None,None,None,0,5,0
8349,Yummy,Hybrid,None,None,None,None,None,Uplifted,Relaxed,Happy,Energetic,Euphoric,None,None,None,None,None,None,0,5,0
8363,Pineapple Euphoria,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Skunk,Pungent,Earthy,0,0,3
8597,Chronic Thunder,Indica,Insomnia, Pain, Muscle Spasms, Stress, Lack of Appetite,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy,None,None,5,8,1
8766,Jacky White,Hybrid,Stress, Nausea, Depression, Pain,None,Energetic, Relaxed, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus,None,None,4,8,1
8773,Hawaiian,Hybrid,Stress, Depression, Pain, Lack of Appetite, Nausea,Happy, Uplifted, Relaxed, Creative, Talkative, Dry Mouth, Paranoid, Anxious,Sweet, Citrus,None,5,8,2
8873,Emerald Jack,Hybrid,Stress, Depression, Pain, Insomnia,None,Happy, Uplifted, Creative, Horny, Euphoric, Dry Mouth, Anxious, Paranoid,Pine, Earthy, Citrus,4,8,3
8966,K2,Hybrid,None,None,None,None,None,Relaxed,Happy,Giggly,Hungry,Sleepy,None,None,None,None,None,None,0,5,0
8985,Cannalope Kush,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Lime,Lemon,0,0,3
8991,Lemon Sour Diesel,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Vanilla,Sweet,Coffee,0,0,3
9028,Apple Jack,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Pungent,Citrus,0,0,3
9048,Northern Berry,Hybrid,Stress, Pain, Insomnia, Depression, Inflammation,Relaxed, Sleepy, Happy, Euphoric, Tingly, Dry Mouth, Paranoid,None,Berry, Sweet, Earthy,5,7,3
9187,Northern Lights #5,Hybrid,Pain, Stress, Insomnia, Inflammation, Nausea,Relaxed, Euphoric, Happy, Focused, Uplifted, Dry Mouth, Paranoid,None,Sweet, Pine, Citrus,5,7,3
9228,Medusa,Hybrid,None,None,None,None,None,Relaxed,Happy,Euphoric,Creative,Uplifted,None,None,None,None,None,None,0,5,0
9237,Black Russian,Hybrid,Stress, Insomnia, Lack of Appetite, Nausea,None,Relaxed, Euphoric, Uplifted, Happy, Sleepy, Dry Mouth, Paranoid,None,Citrus, Earthy, Lemon,4,7,3
9494,Golden Pineapple,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Woody,Spicy/Herbal,Sweet,0,0,3
9532,9 Pound Hammer,Hybrid,Stress, Pain, Insomnia, Depression, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,None,Earthy, Sweet, Berry,5,7,3
9751,Jazz,Hybrid,None,None,None,None,None,Uplifted,Relaxed,Euphoric,Energetic,Happy,None,None,None,None,None,None,0,5,0
9759,Blue Lights,Indica,Stress, Depression, Insomnia, Nausea, Pain,Euphoric, Relaxed, Energetic, Talkative, Dry Mouth, Paranoid,None,None,Blueberry, Sweet,None,5,6,2
9774,Frankenstein,Hybrid,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Sleepy, Creative, Tingly, Focused, Dry Mouth, Anxious,None,Earthy, Skunk,None,5,7,2
9880,Supernatural,Hybrid,Stress, Lack of Appetite,None,None,None,Euphoric, Relaxed, Happy, Energetic, Horny, Dry Mouth,None,None,Citrus, Earthy,None,2,6,2
9894,Canna-Tsu,Hybrid,None,None,None,None,None,Relaxed,Happy,Focused,Uplifted,Creative,None,None,None,None,None,None,0,5,0
9901,Platinum Bubba Kush,Indica,Pain, Stress, Insomnia, Depression, Inflammation,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,None,Earthy,None,None,5,7,1
9905,Swiss Gold,Hybrid,Pain, Stress, Depression, Inflammation,None,Relaxed, Happy, Focused, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious,Citrus, Berry,None,4,8,2
9954,Blue Power,Hybrid,Stress, Insomnia, Depression, Lack of Appetite, Nausea,Relaxed, Happy, Sleepy, Hungry, Uplifted, Dry Mouth, Paranoid,None,Berry, Earthy,None,5,7,2
9990,Jillybean,Hybrid,None,None,None,None,None,Happy,Uplifted,Euphoric,Relaxed,Creative,None,None,None,None,None,None,0,5,0
10502,Power Plant,Hybrid,Pain, Stress, Depression, Inflammation,None,Happy, Uplifted, Relaxed, Euphoric, Energetic, Dry Mouth, Paranoid,None,Earthy,None,None,4,7,1
10503,Opium,Hybrid,None,None,None,None,None,Happy,Relaxed,Euphoric,Uplifted,Giggly,None,None,None,None,None,None,0,5,0
10504,Skunk 47,Indica,Pain, Depression, Stress, Nausea,None,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth,None,None,Earthy, Skunk,None,4,6,2
10527,C4,Hybrid,None,None,None,None,None,Relaxed,Happy,Euphoric,Creative,Uplifted,None,None,None,None,None,None,0,5,0
10764,NYPD,Sativa,Stress, Depression, Pain,None,None,Uplifted, Relaxed, Happy, Energetic, Euphoric, Anxious, Dry Mouth, Paranoid,Earthy,None,None,3,8,1
10983,QuickSilver,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Pungent,Citrus,0,0,3
10997,Space Jill,Sativa,Pain, Stress, Depression, Nausea,None,Creative, Focused, Energetic, Uplifted, Euphoric, Dry Mouth, Paranoid,None,None,None,None,4,7,0
11047,White Kush,Hybrid,Insomnia, Pain, Stress, Depression, Lack of Appetite,Sleepy, Relaxed, Hungry, Horny, Happy, Dry Mouth, Paranoid, Anxious,Berry, Sweet,None,5,8,2
11111,Goo,Hybrid,Pain, Stress, Insomnia, Lack of Appetite, Muscle Spasms,Sleepy, Relaxed, Hungry, Euphoric, Happy, Dry Mouth, Paranoid,None,Berry, Sweet, Blueberry,5,7,3
11113,Chemo,Hybrid,Insomnia, Pain, Stress, Lack of Appetite, Depression,Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid,None,Earthy, Sweet,None,5,7,2
11118,True OG,Indica,Stress, Insomnia, Pain, Depression,None,Relaxed, Euphoric, Sleepy, Happy, Focused, Dry Mouth, Anxious,None,Earthy, Pine,None,4,7,2
11209,Deep Sleep,Indica,Pain, Insomnia, Depression, Lack of Appetite, Nausea,Relaxed, Sleepy, Euphoric, Happy, Tingly, Dry Mouth, Anxious,None,Earthy, Sweet, Pine,5,7,3
11633,Matanuska Thunder,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Blueberry,Berry,0,0,3
11644,Hawaiian Delight,Indica,Pain, Stress, Nausea, Depression,None,Happy, Relaxed, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid,None,Sweet,None,None,4,7,1
11656,Purple Nepal,Hybrid,Stress, Insomnia, Pain, Depression,None,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,None,Grape, Berry,None,4,7,2
11745,Dream Berry,Hybrid,Pain, Depression, Stress, Insomnia, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Dry Mouth,None,None,None,Berry, Citrus,None,5,5,2
11770,Gorilla Glue,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Berry,Sweet,Earthy,0,0,3
11786,Blue Moonshine,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Uplifted, Energetic, Dry Mouth, Paranoid,None,Berry, Earthy, Pine,5,7,3
11867,EWOK,Hybrid,None,None,None,None,None,Relaxed,Happy,Euphoric,Creative,Uplifted,None,None,None,None,None,None,0,5,0
11884,Bay Dream,Hybrid,Depression, Stress, Lack of Appetite, Pain,None,Happy, Euphoric, Hungry, Uplifted, Focused, Dry Mouth, Paranoid, Anxious,Citrus,None,None,4,8,1
11886,Hawaiian Dream,Sativa,Depression, Pain, Inflammation, Stress,None,Happy, Relaxed, Focused, Euphoric, Energetic, Dry Mouth, Anxious, Paranoid,Sweet, Pineapple,None,4,8,2
11896,Presidential OG,Hybrid,Insomnia, Stress, Pain, Lack of Appetite, Depression,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,None,Earthy, Pine,None,5,7,2
11964,Grape Skunk,Hybrid,Nausea, Stress, Pain, Depression, Insomnia,Happy, Uplifted, Talkative, Energetic, Relaxed, Dry Mouth,None,None,Skunk, Earthy, Grape,5,6,3
12031,Laughing Buddha,Sativa,Depression, Stress, Pain, Lack of Appetite,None,Happy, Euphoric, Uplifted, Energetic, Dry Mouth, Paranoid, Anxious,None,Citrus, Sweet,None,4,7,2
12090,MILF,Hybrid,None,None,None,None,None,Happy,Euphoric,Uplifted,Giggly,Relaxed,None,None,None,None,None,None,0,5,0
12284,Northern Wreck,Hybrid,Depression, Stress, Pain, Nausea,None,Euphoric, Happy, Relaxed, Creative, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine,None,4,8,2
12426,Blue Dynamite,Hybrid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,None,Citrus, Lemon, Earthy,5,7,3
12611,Guard Dawg,Hybrid,Muscle Spasms,None,None,None,None,Euphoric, Happy, Relaxed,None,None,None,None,None,Sweet, Earthy,None,1,3,2
12637,Cotton Candy Kush,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Earthy,Flowery,0,0,3
12641,Tutankhamon,Sativa,Depression, Stress, Nausea, Pain, Insomnia,Uplifted, Focused, Happy, Energetic, Euphoric, Dry Mouth, Anxious, Paranoid,Skunk,None,None,5,8,1
12827,Champagne,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Cheese,Earthy,Pungent,0,0,3
12836,Blue Afghani,Hybrid,Lack of Appetite, Stress, Insomnia, Depression,None,Relaxed, Euphoric, Hungry, Creative, Happy, Dry Mouth, Paranoid,None,Blueberry,None,None,4,7,1
12997,Lavender Haze,Sativa,Stress, Depression, Pain, Inflammation, Lack of Appetite,Happy, Focused, Relaxed, Euphoric, Uplifted, Dry Mouth, Anxious, Paranoid,Lavender, Earthy,None,5,8,2
13108,Aliens On Moonshine,Indica,Inflammation, Stress,None,None,None,Relaxed, Happy, Tingly, Focused,None,None,None,None,Vanilla,None,None,2,4,1
13369,Snowcap,Hybrid,None,None,None,None,None,Happy,Euphoric,Uplifted,Focused,Creative,None,None,None,None,None,None,0,5,0
13404,Flowerbomb Kush,Hybrid,Stress, Pain, Lack of Appetite, Muscle Spasms,None,Relaxed, Hungry, Sleepy, Tingly, Happy, Dry Mouth, Anxious, Paranoid,Earthy, Citrus,None,4,8,2
13525,Blue Knight,Indica,Stress, Pain, Depression, Lack of Appetite,None,Relaxed, Uplifted, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Blueberry,4,8,3
13531,Super Silver Sour Diesel Haze,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Cheese,Pepper,Tea,0,0,3
13701,Platinum Kush,Hybrid,Stress, Insomnia, Lack of Appetite, Pain, Depression,Relaxed, Happy, Hungry, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,5,8,2
13817,Matanuska Thunder Fuck,Sativa,Depression, Stress, Pain, Inflammation,None,Euphoric, Happy, Relaxed, Creative, Energetic, Dry Mouth, Anxious, Paranoid,Earthy, Pine,None,4,8,2
13845,Afghani,Indica,Stress, Insomnia, Pain, Lack of Appetite, Depression,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid,None,Earthy, Sweet, Pine,5,7,3
14053,Bubbleberry,Hybrid,None,None,None,None,None,Happy,Relaxed,Focused,Uplifted,Hungry,None,None,None,None,None,None,0,5,0
14223,Hammerhead,Hybrid,Insomnia, Pain, Stress, Lack of Appetite,None,Sleepy, Horny, Tingly, Relaxed, Euphoric, Dry Mouth,None,None,Berry, Earthy,None,4,6,2
14253,Vader OG,Hybrid,Pain, Stress, Depression, Insomnia,None,Relaxed, Happy, Talkative, Creative, Anxious,None,None,None,Earthy, Sweet,None,4,5,2
14283,Key Lime Pie,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Menthol,Spicy/Herbal,Sweet,0,0,3
14472,Blue Alien,Hybrid,Pain, Stress, Insomnia, Inflammation,None,Relaxed, Euphoric, Sleepy, Hungry, Happy, Dry Mouth, Paranoid, Anxious,Blueberry, Grape, Citrus,4,8,3
14538,Dark Star,Indica,Pain, Stress, Insomnia, Depression,None,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Pine,None,4,8,2
14714,Strawberry Mango Haze,Sativa,Stress, Depression, Pain,None,None,Happy, Euphoric, Uplifted, Focused, Dry Mouth, Paranoid, Anxious,None,Mango, Strawberry, Sweet,3,7,3
14801,Nordle,Hybrid,Stress, Pain, Depression, Inflammation, Muscle Spasms,Relaxed, Happy, Sleepy, Focused, Dry Mouth, Paranoid, Anxious,None,Pine,None,None,5,7,1
15126,Pineapple Super Silver Haze,Sativa,Stress, Depression, Lack of Appetite, Pain,None,Happy, Uplifted, Euphoric, Creative, Energetic, Dry Mouth, Anxious, Paranoid,Pineapple, Citrus, Sweet,4,8,3
15206,Trinity,Hybrid,Depression, Pain, Stress, Muscle Spasms,None,Happy, Uplifted, Euphoric, Relaxed, Horny, Dry Mouth, Anxious, Paranoid,Earthy, Skunk,None,4,8,2
15590,Ancient OG,Hybrid,Stress, Insomnia, Depression, Pain, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid,None,Earthy, Pine,None,5,7,2
15780,Shishkaberry,Indica,Stress, Depression, Insomnia, Pain,None,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid,None,Berry, Sweet, Earthy,4,7,3
15792,Purple Pinecone,Hybrid,None,None,None,None,None,Euphoric, Focused, Happy, Relaxed, Uplifted,None,None,None,None,None,None,0,5,0
15993,Wappa,Hybrid,None,None,None,None,None,Happy,Giggly,Relaxed,Hungry,Uplifted,None,None,None,None,None,None,0,5,0
16381,Purple Dragon,Indica,Stress, Insomnia, Depression, Pain,None,Relaxed, Euphoric, Uplifted, Happy, Dry Mouth, Paranoid, Anxious,None,Grape, Earthy, Sweet,4,7,3
16451,Candyland,Sativa,Stress, Depression, Pain,None,None,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious,None,Sweet, Earthy,None,3,7,2
16453,3X Crazy,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Grape, Sweet,5,8,3
16543,Mazar Kush,Indica,Pain, Insomnia, Inflammation, Stress, Nausea,Relaxed, Sleepy, Happy, Hungry, Dry Mouth, Anxious,None,None,Earthy,None,None,5,6,1
16594,Bianca,Hybrid,None,None,None,None,None,Relaxed,Sleepy,Euphoric,Focused,Creative,None,None,None,None,None,None,0,5,0
16698,Sin Diesel,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Cheese,Woody,Pungent,0,0,3
16819,Ghost OG Moonshine,Indica,Depression, Lack of Appetite, Pain, Stress, Insomnia,Euphoric, Happy, Hungry, Relaxed, Sleepy, Dry Mouth,None,None,Earthy, Skunk,None,5,6,2
16975,Platinum OG,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,5,8,2
17000,Blue Train,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Earthy,Sweet,0,0,3
17211,Dancehall,Hybrid,None,None,None,None,None,Happy,Relaxed,Uplifted,Energetic,Creative,None,None,None,None,None,None,0,5,0
17429,Strawberry Ice,Sativa,Depression, Stress, Pain,None,None,Euphoric, Uplifted, Focused, Energetic, Happy, Dry Mouth, Paranoid,None,Strawberry, Sweet, Berry,3,7,3
17708,ReCON,Hybrid,Stress, Insomnia, Nausea, Pain, Lack of Appetite,Relaxed, Hungry, Sleepy, Happy, Euphoric, Dry Mouth, Anxious, Paranoid,Sweet,None,None,5,8,1
17750,P-51,Indica,Pain, Insomnia, Nausea, Stress,None,Happy, Tingly, Uplifted, Relaxed, Dry Mouth, Paranoid,None,None,Earthy, Sweet,None,4,6,2
17932,Conspiracy Kush,Hybrid,Pain, Lack of Appetite, Stress, Insomnia, Inflammation,Relaxed, Happy, Euphoric, Sleepy, Creative, Dry Mouth, Anxious,None,Earthy, Sweet, Berry,5,7,3
17962,Silver Haze,Hybrid,Stress, Depression, Lack of Appetite, Pain, Insomnia,Euphoric, Happy, Energetic, Uplifted, Relaxed, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,5,8,2
18075,Mad Scientist,Hybrid,Insomnia, Pain, Stress, Depression, Muscle Spasms,Relaxed, Euphoric, Uplifted, Focused, Sleepy, Dry Mouth, Paranoid,None,Earthy, Pine,None,5,7,2
18265,Space Candy,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Sweet,Pine,0,0,3
18335,Lemonberry,Hybrid,None,None,None,None,None,Euphoric,Energetic,Giggly,Happy,Creative,None,None,None,None,None,None,0,5,0
18787,Stephen Hawking Kush,Hybrid,Stress, Pain, Nausea, Depression,None,Relaxed, Happy, Euphoric, Focused, Uplifted, Dry Mouth, Paranoid,None,Earthy, Pine,None,4,7,2
18789,Purple Punch,Hybrid,Stress, Depression, Pain, Inflammation, Muscle Spasms,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth,None,None,Sweet, Berry, Grape,5,6,3
18822,Webster,Hybrid,Pain, Stress, Inflammation,None,None,Relaxed, Sleepy, Talkative, Uplifted, Happy,None,None,None,Citrus, Sweet,None,3,5,2
18903,Purple Champagne,Hybrid,Stress, Pain, Depression,None,None,Uplifted, Focused, Creative, Euphoric, Happy, Dry Mouth,None,None,Grape, Earthy,None,3,6,2
19057,Tang,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Orange,Sweet,0,0,3
19170,Strawberry Blue,Hybrid,Stress, Depression, Pain, Lack of Appetite,None,Happy, Energetic, Uplifted, Euphoric, Dry Mouth,None,None,None,Strawberry, Sweet, Berry,4,5,3
19386,Snow Monster,Indica,Pain, Insomnia, Stress, Lack of Appetite,None,Relaxed, Happy, Hungry, Uplifted, Euphoric, Dry Mouth,None,None,Sweet, Earthy, Skunk,4,6,3
19832,Locktite,Hybrid,None,None,None,None,None,Relaxed,Happy,Uplifted,Tingly,Euphoric,None,None,None,Sweet,Citrus,Earthy,0,5,3
