test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,ailment_count,effects_count,flavor_count
1192,LA Woman,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Berry,Grape,0,0,3
1217,Remedy,Indica,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Sleepy, Happy, Uplifted, Focused, Dry Mouth,None,None,Earthy, Citrus,None,5,6,2
1243,Elephant,Sativa,None,None,None,None,None,Happy, Creative, Focused, Relaxed, Euphoric,None,None,None,Sweet, Earthy,None,0,5,2
1259,Blue OG,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Apricot,Earthy,Spicy/Herbal,0,0,3
1271,Chernobyl,Hybrid,None,None,None,None,None,Happy,Euphoric,Relaxed,Energetic,Uplifted,None,None,None,None,None,None,0,5,0
1276,Kosher Kush,Hybrid,Pain, Stress, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy,None,None,5,8,1
1332,Kali Mist,Hybrid,Stress, Pain, Depression, Lack of Appetite, Muscle Spasms,Energetic, Creative, Happy, Focused, Uplifted, Dry Mouth, Anxious, Paranoid,Earthy, Sweet, Citrus,5,8,3
1333,Super Skunk,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Sleepy, Hungry, Euphoric, Dry Mouth, Paranoid, Anxious,Skunk, Earthy, Sweet,5,8,3
1369,Caramelicious,Hybrid,None,None,None,None,None,Focused,Happy,Relaxed,Euphoric,Creative,None,None,None,None,None,None,0,5,0
1449,AK-48,Hybrid,None,None,None,None,None,Happy,Energetic,Uplifted,Creative,Relaxed,None,None,None,None,None,None,0,5,0
1453,MK Ultra,Hybrid,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,None,Earthy, Sweet,None,5,7,2
1522,Sweet Cheese,Hybrid,Depression, Stress, Lack of Appetite,None,None,Euphoric, Uplifted, Happy, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Sweet,None,None,3,8,1
1576,The Black,Hybrid,Insomnia, Stress, Pain, Muscle Spasms, Inflammation,Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,None,5,8,2
1631,Super Silver Haze,Sativa,Stress, Depression, Pain, Lack of Appetite,None,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious,Citrus, Earthy, Sweet,4,8,3
1736,Charlie Sheen,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Spicy/Herbal,Earthy,Sweet,0,0,3
1741,Purple OG Kush,Indica,Stress, Insomnia, Depression, Lack of Appetite,None,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy,None,None,4,8,1
1855,THC Bomb,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Pungent,Sweet,0,0,3
1889,Aurora Indica,Hybrid,Stress, Insomnia, Pain, Muscle Spasms, Inflammation,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid,None,Pine, Skunk,None,5,7,2
1908,Chronic,Hybrid,None,None,None,None,None,Relaxed,Happy,Giggly,Euphoric,Energetic,None,None,None,None,None,None,0,5,0
1921,Fruit Punch,Hybrid,Depression, Stress, Pain, Nausea,None,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Sweet, Berry,None,4,8,2
1922,Pot of Gold,Hybrid,Insomnia, Pain, Lack of Appetite, Stress,None,Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Paranoid, Anxious, Dry Mouth,Sweet, Grape, Pineapple,4,8,3
1939,Granddaddy Purple,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,None,Berry, Grape, Sweet,5,7,3
