test_strain,type,ailment_1,effects_1,flavor_1,thc_max,cbd_max,chemotype,strain_leafly_review_rank,strain_leafly_page_rank
Purple Pinecone,Hybrid,None,Euphoric,None,17,0,1,150,1461
Wappa,Hybrid,None,Happy,None,23.8551,0.22,1,134,512
Purple Dragon,Indica,Stress,Relaxed,Grape,8.71241,0.06,1,149,483
Candyland,Sativa,Stress,Happy,Sweet,24.802,0,1,38,50
3X Crazy,Indica,Stress,Relaxed,Earthy,16.786,0,1,137,264
Mazar Kush,Indica,Pain,Relaxed,Earthy,14.13505,0.12,1,141,860
Bianca,Hybrid,None,Relaxed,None,48.73,0.12,1,149,1366
Sin Diesel,Hybrid,None,None,Cheese,23.96481,0.66,1,150,1742
Ghost OG Moonshine,Indica,Depression,Euphoric,Earthy,20.0509,0.13,1,149,1465
Platinum OG,Indica,Stress,Relaxed,Earthy,19.5363,0.15,1,65,71
Blue Train,Hybrid,None,None,Citrus,6.68103,0.02,1,150,753
Dancehall,Hybrid,None,Happy,None,0.63743,16.4,3,138,797
Strawberry Ice,Sativa,Depression,Euphoric,Strawberry,63.1916,0,1,147,889
ReCON,Hybrid,Stress,Relaxed,Sweet,19.2678,0.1,1,142,762
P-51,Indica,Pain,Happy,Earthy,24.90322,0.22,1,151,1673
Conspiracy Kush,Hybrid,Pain,Relaxed,Earthy,21.26,0.45,1,129,655
Silver Haze,Hybrid,Stress,Euphoric,Earthy,16.2736,0.33,1,82,90
Mad Scientist,Hybrid,Insomnia,Relaxed,Earthy,20.36405,0,1,152,1067
Space Candy,Hybrid,None,None,Citrus,21.72,0.11,1,138,425
Lemonberry,Hybrid,None,Euphoric,None,15.1913,0.24,1,145,651
Stephen Hawking Kush,Hybrid,Stress,Relaxed,Earthy,21.31,0.14,1,147,548
Purple Punch,Hybrid,Stress,Relaxed,Sweet,4.2,15.03,2,109,228
Webster,Hybrid,Pain,Relaxed,Citrus,24.3,0.5,1,151,1743
Purple Champagne,Hybrid,Stress,Uplifted,Grape,25.75,0.38,1,139,927
Tang,Hybrid,None,None,Citrus,17.5584,0.42,1,0,0
Strawberry Blue,Hybrid,Stress,Happy,Strawberry,15.1613,0.12,1,145,748
Snow Monster,Indica,Pain,Relaxed,Sweet,13.0534,0.07,1,146,1287
Locktite,Hybrid,None,Relaxed,Sweet,22.2527,0.12,1,132,625
Allen Wrench,Hybrid,Stress,Energetic,Earthy,15.4,0.2,1,123,380
Tangerine Kush,Hybrid,Insomnia,Relaxed,Citrus,17.7992,0.15,1,113,267
Hawaiian Punch,Hybrid,Pain,Happy,Citrus,19.98,0.69,1,145,784
Gobbstopper,Hybrid,Depression,Happy,Sweet,15.8906,0.12,1,151,1567
Mendo Purps,Hybrid,None,None,Earthy,14.582,0.15,1,123,160
Training Day,Hybrid,Insomnia,Relaxed,Earthy,17.4,0.3,1,142,773
Hog's Breath,Hybrid,None,None,Earthy,18.2,0.4,1,140,664
Sour Amnesia,Hybrid,Stress,Happy,Sweet,24.8,0.2,1,137,603
Hindu Skunk,Hybrid,Stress,Relaxed,Skunk,16.27461,0,1,148,843
Kryptonite,Hybrid,Pain,Relaxed,Sweet,18.30326,0.09,1,115,240
Kush Dream,Hybrid,None,None,Flowery,15.1651,0.07,1,0,0
Mango,Hybrid,Stress,Relaxed,Mango,19.21224,0.16,1,119,173
Grapefruit Haze,Hybrid,Stress,Uplifted,Lemon,20.6,0.2,1,141,900
Dog Walker,Hybrid,None,None,Tropical,21.65539,0.19,1,123,279
Grape Crush,Indica,Stress,Relaxed,Grape,22.24,0.06,1,146,770
Solace,Hybrid,None,None,Berry,15.5967,0.5,1,0,0
Woody Kush,Hybrid,Insomnia,Relaxed,Pine,23.2373,4.9,2,147,982
Bubblegum Kush,Hybrid,Pain,Relaxed,Sweet,15.0828,0.3,1,113,163
Ice Bomb,Hybrid,None,None,Sweet,16.7614,0.5,1,0,0
SFV OG Kush,Indica,Pain,Relaxed,Earthy,22.16,0.06,1,137,212
Hurkle,Hybrid,None,Relaxed,None,14.2066,0.06,1,140,865
Sage N Sour,Sativa,Depression,Happy,Earthy,16.3268,0,1,134,423
Heisenberg Kush,Sativa,Depression,Happy,Berry,15.6544,0.08,1,149,886
Swiss Tsunami,Sativa,Pain,Relaxed,Citrus,1,16.58,3,146,1185
Jack Diesel,Hybrid,Depression,Happy,Sweet,15.532,0.6,1,147,997
Cat Piss,Hybrid,Stress,Happy,Ammonia,14.2812,0.5,1,120,200
U2 Kush,Hybrid,Depression,Relaxed,Sweet,23.65,0.1,1,149,1444
Blue Ox,Hybrid,Depression,Sleepy,Berry,23.59879,0.09,1,152,1609
White Berry,Hybrid,Insomnia,Horny,Berry,21.86,0.41,1,135,346
StarDawg,Hybrid,None,Happy,None,23.16,0.29,1,70,75
OG-18,Indica,None,Relaxed,None,23.0143,0.1,1,103,174
Money Maker,Hybrid,Pain,Relaxed,Earthy,18.1539,0,1,148,467
Harle-Tsu,Hybrid,None,Relaxed,Earthy,5.27628,10,2,103,219
Willy Wonka,Hybrid,Stress,Happy,Sweet,15.1582,0.1,1,147,798
Somango,Indica,Pain,Relaxed,Mango,15.75092,2.41,1,130,417
Danky Doodle,Indica,Stress,Euphoric,Sweet,13.2427,0,1,0,0
Dr. Grinspoon,Sativa,Depression,Energetic,Citrus,26.16,0.07,1,149,420
Purple Dream,Hybrid,None,None,Earthy,16.17969,0,1,116,272
Mango Haze,Hybrid,Stress,Happy,Mango,23.25,0.07,1,110,197
Kona Gold,Hybrid,Depression,Happy,Sweet,23.34,0.17,1,150,972
Sour Dream,Hybrid,None,None,Sweet,17.36364,0,1,142,430
Silver Kush,Hybrid,Stress,Relaxed,Earthy,48.1764,0.18,1,137,389
Strawberry Banana,Hybrid,None,None,Woody,16.0752,0.12,1,99,130
Hurricane,Sativa,Stress,Euphoric,Sweet,18.3677,0.15,1,145,1155
Ghost OG,Hybrid,None,None,Sweet,23.3,0.3,1,96,95
Sour Alien,Hybrid,None,None,Earthy,19.42,0.16,1,134,620
Walrus Kush,Hybrid,None,None,Earthy,17.41,0.34,1,152,1889
Honey Boo Boo,Indica,Pain,Relaxed,Honey,18.06,0.17,1,149,796
J1,Hybrid,None,Euphoric,None,20.9325,0.27,1,93,152
Strawberry Frost,Indica,Depression,Happy,Sweet,17.8154,0.2,1,148,956
California Hash Plant,Indica,Stress,Sleepy,Citrus,8.2807,0,1,150,1447
MediHaze,Sativa,Pain,Happy,Pine,9.25187,11.96,2,119,456
Yoda OG,Hybrid,Stress,Relaxed,Earthy,20.19,0.4,1,114,249
Atomic,Hybrid,None,Happy,None,22.6,0.4,1,0,0
Dutch Haze,Hybrid,None,Energetic,Citrus,16.22878,0.28,1,149,1083
Crystal,Hybrid,None,None,Earthy,16.7605,0.08,1,0,0
Mindbender,Hybrid,None,None,Earthy,14.9366,0.18,1,0,0
Euphoria,Hybrid,None,Euphoric,None,7.98129,0.14,1,140,368
Phantom OG,Indica,Depression,Euphoric,Earthy,26.64,0.01,1,142,469
Lemon Thai,Hybrid,Stress,Happy,Lemon,81.49474,0.57,1,142,405
91 Krypt,Indica,Stress,Relaxed,Earthy,12.1641,0.2,1,151,1216
Full Moon,Hybrid,Depression,Happy,Ammonia,21.1464,0.3,1,150,791
Caramelo,Hybrid,Stress,Happy,Sweet,18.513,0.12,1,150,1086
Northern Light,Hybrid,None,None,Lemon,14.5582,1.4,1,11,11
Afghani Bullrider,Hybrid,Stress,Uplifted,Sweet,20.417,0,1,139,585
Memory Loss,Hybrid,Stress,Uplifted,Earthy,21.25,0.3,1,144,671
Sour Cookies,Hybrid,None,None,Sweet,20.4525,0.11,1,130,300
Trash,Hybrid,None,Relaxed,None,24.1667,0.2,1,149,1287
Punky Lion,Hybrid,Stress,Relaxed,Earthy,19.81,0.09,1,0,0
Dinachem,Hybrid,None,Talkative,None,24.89,0.09,1,147,1337
Sweet Black Angel,Hybrid,Depression,Relaxed,Sweet,17.7,0.2,1,144,1030
Fruity Chronic Juice,Hybrid,Lack of Appetite,Relaxed,Citrus,18,0.3,1,150,901
Chocolate Fondue,Hybrid,Depression,Relaxed,Sweet,19.4,0.2,1,146,1009
Buddha Tahoe,Hybrid,Insomnia,Relaxed,Earthy,19.8,0.2,1,142,584
Destroyer,Hybrid,Depression,Energetic,Lavender,15.5944,0.32,1,141,737
Citrix,Hybrid,None,Happy,None,21.56,0.04,1,144,743
Nebula,Hybrid,None,Uplifted,None,14,0.1,1,130,292
Sunset Sherbet,Sativa,None,None,Sweet,17.8269,0.11,1,28,24
Church OG,Hybrid,Stress,Relaxed,Earthy,64.3658,0.39,1,145,574
Hawaiian Snow,Hybrid,Depression,Happy,None,19.1893,0.09,1,135,313
Star Killer,Hybrid,Pain,Relaxed,Lemon,19.88261,0.13,1,105,287
Enemy of the State,Indica,Stress,Relaxed,Sweet,19.694,0.2,1,142,1026
Dawgfather,Hybrid,None,None,Earthy,10.26967,0,1,152,1804
Dutch Queen,Hybrid,None,None,Earthy,26.99,0.07,1,150,1734
Future,Hybrid,None,Relaxed,None,22.53,0.15,1,141,977
Cornbread,Hybrid,Stress,Relaxed,Earthy,15.90814,0.13,1,121,531
Durban Cookies,Hybrid,Pain,Happy,Sweet,18.95,0.1,1,133,799
Swiss Tsu 2,Hybrid,None,None,Lemon,3.94,73.05,3,0,0
Magnum,Hybrid,None,Energetic,None,10.7978,0.05,1,148,859
White Nightmare,Hybrid,Stress,Uplifted,Earthy,15.786,0.61,1,141,539
Willie Nelson,Hybrid,Stress,Happy,Earthy,7.8,0.1,1,136,358
Mataro Blue,Hybrid,Pain,Relaxed,Berry,20.29,0.06,1,141,819
Hades Haze,Indica,Insomnia,Relaxed,Citrus,11.6748,0.05,1,149,1749
Purple Star,Hybrid,Pain,Tingly,Berry,17.9569,0.65,1,149,1242
PowerNap,Hybrid,None,None,Diesel,20.6132,0.11,1,0,0
Tangie,Hybrid,Stress,Happy,Citrus,72.4905,0.61,1,34,38
Cherries Jubilee,Indica,Stress,Euphoric,Berry,69,4.9,1,150,1607
Monolith,Indica,Insomnia,Relaxed,Earthy,24.93,0.04,1,148,1844
Black Domina,Hybrid,Stress,Relaxed,Pine,15.74873,0,1,121,176
Starfighter,Hybrid,None,Euphoric,None,77.28,0.38,1,148,399
Blue Diamond,Hybrid,Stress,Euphoric,Sweet,21.9157,0.11,1,143,428
Lime Skunk,Hybrid,Depression,Uplifted,Lime,24.6789,0.25,1,125,716
Night Nurse,Hybrid,Pain,Relaxed,Sweet,19.5678,0,1,146,809
Ortega,Hybrid,Depression,Relaxed,Pepper,17.2753,0.1,1,0,0
Blockhead,Hybrid,None,Relaxed,None,20.3,0.18,1,151,907
Amethyst,Hybrid,None,Energetic,None,17.39,0.14,1,152,1335
Quin-N-Tonic,Indica,Stress,Relaxed,Sweet,21.0533,0.1,1,151,1652
Bubba OG,Hybrid,Stress,Relaxed,Earthy,22.65,0.1,1,112,186
Firehouse,Hybrid,None,None,Diesel,19.86079,0,1,0,0
Primus,Hybrid,Stress,Relaxed,Sweet,25.2699,0,1,132,704
Cascadia Kush,Indica,Depression,Relaxed,Earthy,21.59608,0.09,1,151,1805
Sour Urkle,Hybrid,None,None,Earthy,15.47328,0,1,146,1150
Cactus,Indica,Pain,Relaxed,Citrus,24.81,0.36,1,121,690
Nigerian Nightmare,Hybrid,None,None,Earthy,12.8588,0.09,1,0,0
Skunkberry,Hybrid,None,Relaxed,None,12.9372,0.11,1,124,577
Dark Side of the Moon,Hybrid,Stress,Relaxed,Earthy,19.4332,0.13,1,141,979
Haze,Hybrid,Stress,Euphoric,Earthy,51.5,2.4,1,111,73
White Buffalo,Sativa,Stress,Happy,Sweet,22.5,0.3,1,127,340
Bandana,Hybrid,None,Euphoric,None,17.7223,0,1,148,1252
Strawberry Lemonade,Sativa,Stress,Happy,Lemon,16.22001,0.25,1,112,343
Kraken,Indica,Stress,Relaxed,Earthy,20.79,0.08,1,149,1159
Black Bubba,Indica,Stress,Happy,Earthy,21.86,0.1,1,151,1261
Cuvee,Indica,Stress,Euphoric,Sweet,14.9636,0.13,1,146,657
Sonic Screwdriver,Hybrid,Stress,Happy,Earthy,12.1672,0.49,1,139,896
Alien Rift,Hybrid,Stress,Relaxed,Earthy,20.08,0.09,1,142,818
Green Lantern,Hybrid,Stress,Uplifted,Citrus,21,0.1,1,150,895
Super Green Crack,Hybrid,Depression,Energetic,Earthy,11.9,0.1,1,141,463
Black Diamond,Hybrid,Stress,Relaxed,Earthy,21.6234,0.3,1,118,199
Kushage,Hybrid,None,Relaxed,None,20.97747,0.04,1,148,1399
Power Kush,Hybrid,Stress,Relaxed,Sweet,15.8306,0.09,1,146,654
DJ Andy Williams,Sativa,None,Creative,None,22.4512,0,1,150,1613
Murkle,Indica,None,Giggly,None,20.96,0.03,1,140,865
Grape OX,Hybrid,Stress,Hungry,Grape,16.7999,0.1,1,143,1344
Herojuana,Hybrid,None,Relaxed,None,19.0432,0.2,1,97,223
White Strawberry Skunk,Hybrid,None,None,Citrus,18.2408,0.22,1,151,1420
Triangle Kush,Indica,Depression,Relaxed,Earthy,52.5,1.1,1,137,275
Stella Blue,Sativa,Depression,Energetic,Sweet,21.31,0.04,1,150,1364
Alaskan Ice,Hybrid,Depression,Euphoric,Sweet,18.4739,0.13,1,140,547
Hawaiian Haze,Hybrid,Stress,Uplifted,Skunk,5.85836,0,1,141,496
The OX,Hybrid,Pain,Relaxed,Sweet,19.1332,0.21,1,147,1232
Tora Bora,Hybrid,Pain,Relaxed,Earthy,23.35,0.05,1,134,673
Super Cheese,Hybrid,Insomnia,Euphoric,Earthy,10.24272,0,1,147,898
Satori,Hybrid,None,Creative,None,5.09981,7.06,2,147,682
Kaboom,Hybrid,Depression,Happy,Earthy,16.03552,0,1,136,1012
Watermelon,Indica,Stress,Relaxed,Sweet,18.2662,0.1,1,115,276
Blackberry Diesel,Hybrid,Stress,Happy,None,15.3344,0.13,1,150,1117
Devil Fruit,Hybrid,Stress,Relaxed,Pepper,21.68,0.03,1,150,636
Kushberry,Indica,Stress,Relaxed,Berry,14.5474,0.35,1,136,387
Super Slutty Hayes,Hybrid,None,None,Earthy,18.0523,0.12,1,0,0
Casper OG,Hybrid,Insomnia,Relaxed,Earthy,20.6964,0.17,1,145,1184
Temple Haze,Hybrid,None,None,Earthy,9.7839,0,1,0,0
Outlaw,Hybrid,Depression,Euphoric,Earthy,9.76251,0,1,150,1281
Green Kush,Hybrid,Stress,Euphoric,Citrus,19.5,0.1,1,145,803
Sour Haze,Hybrid,Stress,Uplifted,Citrus,77.15,1.42,1,146,721
Mendo Breath,Hybrid,Stress,Relaxed,Earthy,15.1844,0.32,1,103,153
Rockstar,Hybrid,Stress,Relaxed,Earthy,13.81719,0.11,1,94,181
CBD Mango Haze,Hybrid,Stress,Focused,Pepper,2.4025,6.96,2,148,366
Grimace OG,Hybrid,Depression,Sleepy,None,13.575,0.12,1,152,1537
Harlesin,Hybrid,None,None,Pungent,19.01275,43.86,2,40,32
Treasure Island,Hybrid,None,None,Tropical,16.72457,39.11,2,148,1107
Dutch Dragon,Hybrid,Depression,Euphoric,Citrus,23.69,0,1,141,687
Purple Power,Hybrid,Lack of Appetite,Happy,Earthy,17.46,0.05,1,149,838
Purple Widow,Hybrid,None,None,Citrus,15.2267,0.17,1,144,752
Sugar Mama,Indica,Stress,Euphoric,Sweet,14.1366,0.2,1,147,827
Stone Free,Hybrid,None,None,Earthy,22.8335,0.14,1,0,0
Cambodian,Sativa,None,Energetic,Earthy,20.33,0.13,1,152,1320
Purple Goo,Hybrid,Stress,Relaxed,Lavender,16.59,0.09,1,150,869
Vanilluna,Hybrid,None,Sleepy,None,14.82,0,1,151,1702
Sunshine Daydream,Hybrid,Inflammation,Relaxed,Sweet,21.76,0,1,145,534
The One,Hybrid,None,None,Diesel,67.9421,0.23,1,150,1195
Raspberry Cough,Hybrid,Stress,Happy,Berry,20.9172,0.14,1,138,465
Sugar Kush,Hybrid,Insomnia,Relaxed,Sweet,16.2852,0.58,1,142,669
Blue Blood,Hybrid,Stress,Relaxed,Blueberry,3.9,11.6,2,148,1353
5th Element,Hybrid,Pain,Relaxed,Earthy,24.4005,0.17,1,152,822
StarBud,Hybrid,Insomnia,Relaxed,Earthy,16.0721,0.1,1,142,1104
Incredible Hulk,Sativa,Pain,Happy,Sweet,18.47,0.05,1,130,262
Malawi,Sativa,Stress,Energetic,Earthy,27.7747,1.1,1,148,473
Blueberry Blast,Hybrid,Depression,Happy,Blueberry,20,0.1,1,143,989
White Durban,Sativa,Stress,Energetic,Earthy,24.73,0.12,1,135,958
White Dragon,Hybrid,Pain,Relaxed,Earthy,24.6175,0.21,1,152,1589
P-91,Hybrid,None,Euphoric,None,28.1763,0.4,1,143,914
Sin City Kush,Hybrid,Insomnia,Euphoric,Grape,12.1541,0.05,1,152,1046
Blackwater,Indica,Pain,Relaxed,Berry,18.39668,0.15,1,95,190
Apollo 13,Hybrid,None,None,Earthy,20.4079,0.8,1,137,460
Brazil Amazonia,Hybrid,Depression,Relaxed,Berry,23.0974,0.47,1,152,1559
Sour Bubba,Hybrid,Stress,Happy,Pine,25.0706,0.15,1,145,878
Pineapple OG,Hybrid,Pain,Happy,Pineapple,18.5293,0.1,1,134,449
Green Poison,Hybrid,Stress,Relaxed,Sweet,21.6,0.1,1,128,337
Big Wreck,Hybrid,Stress,Euphoric,Earthy,24.6828,0.67,1,149,1467
Pineapple Fields,Hybrid,Inflammation,Happy,Sweet,16.6999,0.3,1,134,963
Lee Roy,Hybrid,Pain,Relaxed,Lime,14.9382,0.09,1,137,783
Space Dawg,Indica,Pain,Relaxed,Sweet,22.5,0.1,1,148,1145
Berry Wreck,Hybrid,None,None,None,22.7642,0.73,1,0,0
G Force,Hybrid,None,None,Pine,14.77355,0.2,1,152,1593
Critical Kali Mist,Sativa,Depression,Creative,Pine,8.21616,0,1,151,1439
Pineapple Punch,Hybrid,Depression,Energetic,Pineapple,20.1517,0.07,1,150,968
Blue Steel,Hybrid,Pain,Uplifted,Blueberry,21.33982,0.02,1,151,1291
A-Train,Hybrid,None,Creative,None,19.31042,0.02,1,146,947
Fat Purple,Hybrid,Pain,Happy,Berry,12.8726,0.05,1,149,1412
Fighting Buddha,Hybrid,None,None,Pungent,22.3496,0.2,1,152,1456
Super Bud,Hybrid,Insomnia,Relaxed,Citrus,14.3743,0.1,1,152,1034
Gelato,Hybrid,None,Relaxed,None,24.0343,0.17,1,29,20
Pineapple Purps,Sativa,Inflammation,Relaxed,Pineapple,21.38951,0.18,1,152,764
Grizzly Purple Kush,Hybrid,None,None,Skunk,73.2,0.4,1,0,0
Strawberry Cheesecake,Hybrid,Depression,Relaxed,Strawberry,23.402,1,1,133,332
Super Jack,Hybrid,Depression,Energetic,Sweet,73.1477,1.6,1,127,365
Whitaker Blues,Hybrid,Stress,Relaxed,Sweet,14.3074,0,1,150,1522
Big Skunk,Hybrid,None,None,Earthy,12.5256,0.22,1,139,478
Tangilope,Hybrid,Depression,Happy,Citrus,16.1,0.1,1,136,571
Cookies Kush,Indica,Stress,Relaxed,Sweet,23.3635,1.1,1,115,109
Purple Berry,Hybrid,Pain,Relaxed,Berry,14.732,0.1,1,145,586
Hawaiian Diesel,Hybrid,Stress,Happy,Citrus,76.9,0.3,1,148,1221
Magnum PI,Sativa,Depression,Uplifted,Citrus,21.4557,1,1,149,1656
Superstar,Hybrid,None,Relaxed,None,25.8052,1,1,151,1481
Blue Fire,Hybrid,None,None,Earthy,66.13848,0.14,1,0,0
Purple People Eater,Hybrid,Depression,Uplifted,Grape,72.7,0.2,1,0,0
Kandahar,Hybrid,Insomnia,Relaxed,Earthy,11.8471,0.07,1,0,0
Pineapple Jack,Hybrid,Stress,Relaxed,Pineapple,81.5,0.2,1,143,447
Commerce City Kush,Hybrid,Insomnia,Euphoric,Sweet,27.7085,0.19,1,0,0
Wonder,Hybrid,None,None,None,15.7367,0,1,0,0
Dreamweaver,Hybrid,None,None,Earthy,18.5823,0,1,148,998
King Louis XIII,Hybrid,Stress,Relaxed,Earthy,20.0631,0.2,1,56,89
Mother Tongue,Sativa,Lack of Appetite,Euphoric,Earthy,15.0213,0.2,1,148,1227
Strawberry Fields,Hybrid,Stress,Relaxed,Strawberry,16.15659,0.03,1,131,438
LA Ultra,Indica,Insomnia,Relaxed,Lemon,84.20747,0.86,1,152,1685
Pakistan Valley Kush,Indica,Insomnia,Relaxed,Pine,69.7221,0.22,1,144,812
Incredible Bulk,Indica,Stress,Relaxed,Earthy,16.3091,1.69,1,129,266
Blackberry Cream,Hybrid,Depression,Relaxed,Berry,13.2279,2.67,2,150,1097
Sour Pebbles,Hybrid,Stress,Happy,Sweet,21.21934,0.04877,1,150,1392
Aloha,Hybrid,Depression,Energetic,Sweet,18.8,0.1,1,143,1028
Sour Jack,Hybrid,Depression,Energetic,Citrus,19.0293,0,1,123,314
CBD Shark,Indica,Pain,Relaxed,Earthy,4.7,8.8,2,131,330
Blue Dot,Sativa,Stress,Uplifted,Earthy,27.4438,0.17,1,149,1122
Lemon G,Hybrid,Pain,Focused,Lemon,76.03442,0.16,1,135,466
Very Berry Haze,Hybrid,Pain,Happy,Berry,27.1654,0.21,1,145,887
Twizzler,Hybrid,None,None,Mango,20.3801,0.11,1,0,0
Extreme OG,Hybrid,Pain,Relaxed,Lime,15.6467,0.1,1,149,790
Colombian Gold,Hybrid,Depression,Euphoric,Earthy,19.6963,0.14,1,125,185
Tangie Ghost Train,Sativa,Depression,Uplifted,Sweet,16.7999,0.3,1,0,0
Himalayan Blackberry,Indica,Insomnia,Sleepy,Berry,17.9,0,1,143,1541
Narnia,Sativa,Stress,Creative,Sweet,23.1,0.1,1,133,506
Appalachian Power,Sativa,None,Euphoric,Grape,21,0.1,1,150,1694
Pacific Blue,Indica,Stress,Happy,Blueberry,21.79399,0.19,1,142,1511
Sour Bubble,Indica,Pain,Relaxed,Sweet,12.5803,0.05,1,146,751
Blueberry Dream,Hybrid,Stress,Relaxed,Blueberry,20.6356,0.17,1,134,674
Lucy,Hybrid,None,Relaxed,None,32.05062,33.8,2,148,902
Clementine,Hybrid,Stress,Happy,Citrus,24.4774,0.6,1,102,232
Bogglegum,Hybrid,None,None,Sweet,15.8229,0.15,1,151,1523
Hempstar,Sativa,Stress,Happy,Earthy,22.905,0.18,1,139,476
Poochie Love,Hybrid,None,Euphoric,Earthy,27.13294,0.15,1,150,1738
Light of Jah,Hybrid,Stress,Happy,Earthy,17.7384,0,1,147,856
8 Ball Kush,Indica,Depression,Relaxed,Earthy,19.83545,0.15,1,146,660
Super G,Hybrid,None,Creative,Earthy,19.83,0.07,1,149,1528
Opal OG Kush,Indica,Stress,Relaxed,Earthy,16.30953,0.03,1,152,1727
Twisted Citrus,Sativa,Depression,Energetic,Citrus,20.7094,0.30278,1,150,1436
Strawberry Amnesia,Sativa,Stress,Euphoric,Strawberry,11.9272,0,1,135,599
Platinum Purple Kush,Indica,Insomnia,Relaxed,Sweet,15.809,0,1,132,369
Extreme Cream,Hybrid,Pain,Relaxed,Earthy,23.92034,0.08262,1,138,699
Mammoth,Hybrid,None,Happy,None,13.0673,0,1,142,797
Do-Si-Dos,Indica,Stress,Relaxed,Earthy,19.7132,0.14909,1,100,98
Face Off OG,Indica,Pain,Relaxed,Earthy,21.7295,0.16663,1,139,282
Dream Beaver,Hybrid,Muscle Spasms,Uplifted,Pineapple,16.8552,0.23679,1,148,998
Hulkamania,Indica,Depression,Horny,Sweet,16.3206,0.13155,1,151,1245
Lemon Meringue,Hybrid,Depression,Uplifted,Lemon,17.839,0.11401,1,139,545
East Coast Sour Diesel,Sativa,Muscle Spasms,Happy,Citrus,18.7493,0.11401,1,129,334
Brandywine,Indica,None,Sleepy,None,22.94,0.1,1,149,1691
Frida,Indica,Pain,Relaxed,Lemon,7.71,12.81,2,142,1638
Elphinstone,Hybrid,Depression,Happy,Citrus,18.4308,0.4354,1,152,1625
Rocklock,Hybrid,Stress,Relaxed,Earthy,17.5761,0.12278,1,149,1140
Ambrosia,Hybrid,None,Uplifted,None,29.0394,0,1,147,868
Bangi Haze,Hybrid,Inflammation,Horny,Berry,65.4157,0,1,0,0
Outer Space,Hybrid,Stress,Uplifted,Citrus,68.2863,0.3508,1,134,718
Herijuana,Hybrid,Stress,Relaxed,Earthy,69.4083,0.39465,1,97,223
Pineapple Haze,Hybrid,Depression,Relaxed,Pineapple,12.2949,0.06139,1,136,443
Lemon Jack,Hybrid,Stress,Energetic,Lemon,19.0647,0.20171,1,134,362
Jack Smack,Sativa,Depression,Energetic,Blueberry,16.5614,0,1,148,1634
Blueberry Pie,Hybrid,None,None,Sweet,19.7,0.1,1,110,702
Pamelina,Indica,Depression,Euphoric,None,24.0513,0.16663,1,0,0
Green Haze,Sativa,Pain,Happy,Earthy,65.29,1.66,1,0,0
CBD Critical Cure,Indica,Pain,Relaxed,Earthy,8.3529,13.3,2,127,503
Nicole Kush,Hybrid,Insomnia,Relaxed,Earthy,21.67003,0.08139,1,151,780
Yumboldt,Hybrid,Insomnia,Relaxed,Citrus,21.51255,0,1,145,1061
ASH,Hybrid,None,Relaxed,None,21.9988,0,1,0,0
Blue Bastard,Indica,Stress,Euphoric,Berry,22.4512,0,1,151,1642
Dr. Funk,Hybrid,Stress,Euphoric,Earthy,71.33,1.34,1,149,1082
Electric Lemon G,Hybrid,Stress,Euphoric,Lemon,10.3655,0.07893,1,135,926
Sugar Momma,Hybrid,None,None,Earthy,23.5496,0,1,147,827
Crouching Tiger Hidden Alien,Indica,Stress,Relaxed,Earthy,16.5,0.59,1,147,1478
Pakistani Chitral Kush,Indica,Stress,Relaxed,Earthy,20.2448,0,1,145,596
Tesla Tower,Sativa,Depression,Tingly,Pepper,19.6086,0.19294,1,148,1371
Emerald OG,Hybrid,Stress,Relaxed,Citrus,14.7051,0.12278,1,146,561
Sonoma Coma,Hybrid,Depression,Euphoric,Citrus,25.0437,0,1,149,1033
Flo OG,Indica,Pain,Happy,Sweet,14.9911,0.07893,1,144,967
VCDC,Hybrid,None,Relaxed,None,10.5069,12.201,2,142,756
Hubbabubbasmelloscope,Hybrid,None,None,Sweet,63.86186,0.21925,1,0,0
Tesla,Hybrid,None,Uplifted,None,4.16019,7.31894,2,149,1508
Hashberry,Hybrid,Pain,Relaxed,Berry,22.1,0.45,1,139,653
Trix,Hybrid,Stress,Happy,Sweet,74.84,0.28,1,150,1540
Sirius Black,Indica,Stress,Relaxed,Sweet,8.52412,0.06139,1,128,556
Locomotion,Hybrid,Stress,Euphoric,Earthy,26.4191,0,1,143,769
Rocky Mountain Blueberry,Indica,Stress,Euphoric,Blueberry,22.2742,0,1,150,1264
Gummo,Hybrid,None,Euphoric,None,74.9568,0,1,148,1191
Funfetti,Hybrid,None,Happy,None,13.99692,0,1,151,1608
Dark Matter,Hybrid,None,None,Citrus,14.5228,0.09647,1,0,0
Anesthesia,Indica,Pain,Hungry,Earthy,13.9504,0.36524,1,151,1196
Sinai,Sativa,Lack of Appetite,Euphoric,Pepper,10.6509,0.51064,1,0,0
Purple Candy,Hybrid,Insomnia,Relaxed,Sweet,13.364,0.11401,1,99,211
Tardis,Hybrid,Depression,Talkative,Sweet,23.52991,0.0877,1,148,1374
Purple Panty Dropper,Hybrid,Stress,Relaxed,Berry,7.83883,0.33326,1,136,442
Thunderstruck,Sativa,Depression,Happy,Pine,6.98564,6.26617,2,147,1266
Grape Inferno,Hybrid,Insomnia,Relaxed,Citrus,27.1592,0,1,148,1180
Purple Chemdawg,Indica,Pain,Relaxed,Grape,19.2201,0.13155,1,133,414
Darth Vader OG,Indica,Insomnia,Relaxed,Grape,22.45,0.94,1,143,431
Headbanger,Hybrid,None,Happy,None,18.0568,0.11401,1,143,491
